year,month,day,hour,solar
2018,7,29,11,250.94600000000008
2018,7,29,12,227.64016666666663
2018,7,29,13,359.8818333333333
2018,7,29,14,440.3853333333333
2018,7,29,15,259.9543333333333
2018,7,29,16,102.12866666666667
2018,7,29,17,63.27666666666667
2018,7,29,18,20.300916666666666
2018,7,29,19,3.705666666666671
2018,7,29,20,0.1155
2018,7,29,21,0.0
2018,7,29,22,0.0
2018,7,29,23,0.0
2018,7,30,0,0.0
2018,7,30,1,0.0
2018,7,30,2,3.2168333333333345
2018,7,30,3,34.5395
2018,7,30,4,89.50399999999996
2018,7,30,5,161.54516666666666
2018,7,30,6,231.12166666666667
2018,7,30,7,234.11333333333332
2018,7,30,8,288.7163333333333
2018,7,30,9,490.11666666666673
2018,7,30,10,685.6490000000001
2018,7,30,11,326.3328333333332
2018,7,30,12,405.97916666666686
2018,7,30,13,490.12949999999984
2018,7,30,14,398.0970833333334
2018,7,30,15,331.159
2018,7,30,16,245.15466666666669
2018,7,30,17,140.40041666666664
2018,7,30,18,66.86683333333332
2018,7,30,19,17.385166666666674
2018,7,30,20,0.8875000000000004
2018,7,30,21,0.0
2018,7,30,22,0.0
2018,7,30,23,0.0
2018,7,31,0,0.0
2018,7,31,1,0.0
2018,7,31,2,1.1453333333333338
2018,7,31,3,12.302166666666665
2018,7,31,4,72.4655
2018,7,31,5,127.12649999999998
2018,7,31,6,156.873
2018,7,31,7,285.79583333333335
2018,7,31,8,368.1833333333335
2018,7,31,9,481.60425000000015
2018,7,31,10,539.9713333333336
2018,7,31,11,546.843166666667
2018,7,31,12,524.3355
2018,7,31,13,472.705
2018,7,31,14,393.0463333333333
2018,7,31,15,302.4728333333333
2018,7,31,16,174.82583333333332
2018,7,31,17,98.0940833333333
2018,7,31,18,37.590000000000025
2018,7,31,19,10.462500000000006
2018,7,31,20,1.1961666666666664
2018,7,31,21,0.0
2018,7,31,22,0.0
2018,7,31,23,0.0
2018,8,1,0,0.0
2018,8,1,1,0.0
2018,8,1,2,0.1411666666666667
2018,8,1,3,10.307833333333337
2018,8,1,4,74.87166666666668
2018,8,1,5,31.68966666666667
2018,8,1,6,40.03533333333334
2018,8,1,7,185.5065
2018,8,1,8,172.13649999999996
2018,8,1,9,303.59991666666673
2018,8,1,10,253.73866666666672
2018,8,1,11,337.9794999999998
2018,8,1,12,543.8191666666664
2018,8,1,13,476.4628333333334
2018,8,1,14,230.883
2018,8,1,15,178.27416666666667
2018,8,1,16,223.63783333333336
2018,8,1,17,140.47766666666664
2018,8,1,18,53.00749999999998
2018,8,1,19,10.809333333333335
2018,8,1,20,0.926166666666667
2018,8,1,21,0.0
2018,8,1,22,0.0
2018,8,1,23,0.0
2018,8,2,0,0.0
2018,8,2,1,0.0
2018,8,2,2,1.5433333333333337
2018,8,2,3,16.227666666666668
2018,8,2,4,66.17216666666667
2018,8,2,5,113.87758333333336
2018,8,2,6,170.759
2018,8,2,7,205.44083333333327
2018,8,2,8,181.3888333333333
2018,8,2,9,135.99316666666667
2018,8,2,10,162.03366666666662
2018,8,2,11,97.39316666666667
2018,8,2,12,85.81
2018,8,2,13,86.89808333333332
2018,8,2,14,107.76516666666662
2018,8,2,15,114.43116666666668
2018,8,2,16,78.35950000000003
2018,8,2,17,39.43624999999999
2018,8,2,18,24.051666666666666
2018,8,2,19,4.117666666666668
2018,8,2,20,0.012833333333333334
2018,8,2,21,0.0
2018,8,2,22,0.0
2018,8,2,23,0.0
2018,8,3,0,0.0
2018,8,3,1,0.0
2018,8,3,2,0.7723333333333334
2018,8,3,3,12.031666666666668
2018,8,3,4,45.60766666666666
2018,8,3,5,136.95133333333334
2018,8,3,6,241.15916666666672
2018,8,3,7,120.5316666666667
2018,8,3,8,110.3135
2018,8,3,9,114.97183333333331
2018,8,3,10,109.9595
2018,8,3,11,144.47983333333337
2018,8,3,12,79.28549999999998
2018,8,3,13,124.91933333333336
